Datasource:,https://walmart-open-data-walmarttech.opendata.arcgis.com/maps/walmarttech::walmart-store-status-web-map/about,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
OID_,businessunit_name,businessunit_number,businessunit_banner_description,businessunit_type_description,businessunit_isstoreopen,facilitydetails_location_locati,facilitydetails_location_loca_1,facilitydetails_location_loca_2,facilitydetails_location_loca_3,facilitydetails_location_loca_8,businessunit_status_code,op_status,Modified_Operating_Hours_,Pharmacy_open_to_public_,Fuel_Station_open_to_public_,bu_num,Grocery_delivery_service,Grocery_delivery_status,Online_grocery_pickup,Online_grocery_pickup_status
15185,"FOREST CITY, NC",1036,WM Supercenter,Retail,1,197 PLAZA DR,FOREST CITY,RUTHERFORD,NC,28043-3712,5,Open,,Y,Y,1036,Yes,,Yes,Available
15186,SUMMERVILLE SC,1037,WM Supercenter,Retail,1,1317 N MAIN ST STE A1,SUMMERVILLE,BERKELEY,SC,29483-7342,5,Open,,Y,Y,1037,No,Available,No,Available
15187,WASECA MN,1038,WM Supercenter,Retail,1,2103 STATE ST N,WASECA,WASECA,MN,56093-2605,5,Open,,Y,Y,1038,No,,No,
15188,MOUNT AIRY NC,1039,WM Supercenter,Retail,1,2241 ROCKFORD ST,MOUNT AIRY,SURRY,NC,27030-5262,5,Open,,Y,Y,1039,No,,No,Available
15189,MILAN TN,104,WM Supercenter,Retail,1,15427 S FIRST ST,MILAN,GIBSON,TN,38358-6475,5,Open,,Y,Y,104,No,,No,Not Available
15190,HOUSTON (SPENCER) TX,1040,WM Supercenter,Retail,1,15955 FM 529 RD,HOUSTON,HARRIS,TX,77095-2513,5,Open,,Y,Y,1040,No,Available,No,Available
15191,WESLACO TX,1041,WM Supercenter,Retail,1,1310 N TEXAS BLVD,WESLACO,HIDALGO,TX,78599-0000,5,Open,,Y,Y,1041,No,,No,Available
15192,BASTROP TX,1042,WM Supercenter,Retail,1,488 HIGHWAY 71 W,BASTROP,BASTROP,TX,78602-3731,5,Open,,Y,Y,1042,No,,Yes,Not Available
15193,PAULS VALLEY OK,1043,WM Supercenter,Retail,1,2008 W GRANT AVE,PAULS VALLEY,GARVIN,OK,73075-9230,5,Open,,Y,Y,1043,No,,No,
15194,TYLER TX,1044,WM Supercenter,Retail,1,5050 TROUP HWY,TYLER,SMITH,TX,75707-1916,5,Open,,Y,Y,1044,No,Available,No,Available
15195,LAFAYETTE CO,1045,WM Supercenter,Retail,1,745 US HIGHWAY 287,LAFAYETTE,BOULDER,CO,80026-8955,5,Open,,Y,Y,1045,No,,No,Available
15196,CARRIZO SPRINGS TX,1046,Wal-Mart,Retail,1,2214 N 1ST ST,CARRIZO SPRINGS,DIMMIT,TX,78834-2036,2,Open,,Y,Y,1046,No,,Yes,
15197,MORROW GA,1047,WM Supercenter,Retail,1,6065 JONESBORO RD,MORROW,CLAYTON,GA,30260-1106,5,Open,,Y,Y,1047,No,,Yes,
15198,WILLIAMSBURG KY,1048,WM Supercenter,Retail,1,589 W HIGHWAY 92,WILLIAMSBURG,WHITLEY,KY,40769-1684,5,Open,,Y,Y,1048,No,,No,
15200,CORINTH MS,105,WM Supercenter,Retail,1,2301 S HARPER RD,CORINTH,ALCORN,MS,38834-6771,5,Open,,Y,Y,105,Yes,Available,Yes,Available
