FIPSTEXT,y17_M003
22005,174.00
22007,892.00
22009,366.00
22011,202.00
22013,154.00
22015,206.00
22017,282.00
22019,380.00
22021,206.00
22023,639.00
22025,485.00
22027,249.00
22029,759.00
22031,228.00
22033,130.00
22035,1059.00
22037,318.00
22039,267.00
22041,320.00
22043,246.00
22045,344.00
22047,1203.00
22049,108.00
22051,157.00
22053,346.00
22055,90.00
22057,414.00
22059,100.00
22061,190.00
22063,68.00
22065,981.00
22067,627.00
22069,340.00
22071,14.00
22073,191.00
22075,833.00
22077,389.00
22079,237.00
22081,485.00
22083,349.00
22085,141.00
22087,983.00
22089,214.00
22091,106.00
22093,903.00
22095,904.00
22097,223.00
22099,232.00
22101,818.00
22103,43.00
22105,101.00
22107,874.00
22109,370.00
22111,177.00
22113,314.00
22115,95.00
22117,110.00
22119,135.00
22121,307.00
22123,307.00
22125,564.00
22127,164.00
23001,112.00
23003,414.00
23005,75.00
23007,133.00
23009,157.00
23011,128.00
23013,83.00
23015,82.00
23017,141.00
23019,175.00
23021,272.00
23023,85.00
23025,312.00
23027,109.00
23029,329.00
23031,83.00
24001,122.00
24003,69.00
24005,108.00
24009,90.00
24011,218.00
24013,125.00
24015,138.00
24017,107.00
24019,356.00
24021,137.00
24023,128.00
24025,118.00
24027,101.00
24029,388.00
24031,117.00
24033,94.00
24035,337.00
24037,100.00
24039,233.00
24041,295.00
24043,136.00
24045,179.00
24047,269.00
25001,20.00
25003,123.00
25005,47.00
25007,71.00
25009,49.00
25011,106.00
25013,69.00
25015,73.00
25017,44.00
25019,37.00
25021,39.00
25023,79.00
25025,1.00
25027,61.00
26001,163.00
26003,166.00
26005,196.00
26007,158.00
26009,167.00
26011,249.00
26013,271.00
26015,165.00
26017,289.00
26019,94.00
26021,166.00
26023,303.00
26025,223.00
26027,266.00
26029,110.00
26031,133.00
26033,209.00
26035,138.00
26037,226.00
26039,65.00
26041,232.00
26043,140.00
26045,218.00
26047,121.00
26049,151.00
26051,128.00
26053,102.00
26055,102.00
26057,365.00
26059,211.00
26061,125.00
26063,430.00
26065,195.00
26067,245.00
26069,139.00
26071,176.00
26073,221.00
26075,174.00
26077,196.00
26079,121.00
26081,156.00
26083,27.00
26085,129.00
26087,163.00
26089,106.00
26091,283.00
26093,123.00
26095,139.00
26097,248.00
26099,182.00
26101,151.00
26103,169.00
26105,181.00
26107,166.00
26109,226.00
26111,165.00
26113,280.00
26115,193.00
26117,239.00
26119,147.00
26121,133.00
26123,160.00
26125,56.00
26127,233.00
26129,238.00
26131,238.00
26133,166.00
26135,112.00
26137,172.00
26139,152.00
26141,200.00
26143,120.00
26145,262.00
26147,169.00
26149,273.00
26151,332.00
26153,242.00
26155,217.00
26157,266.00
26159,159.00
26161,144.00
26163,40.00
26165,132.00
27001,229.00
27003,108.00
27005,390.00
27007,289.00
27009,239.00
27011,614.00
27013,389.00
27015,342.00
27017,177.00
27019,230.00
27021,309.00
27023,547.00
27025,141.00
27027,831.00
27029,376.00
27031,44.00
27033,498.00
27035,181.00
27037,277.00
27039,406.00
27041,274.00
27043,496.00
27045,268.00
27047,366.00
27049,263.00
27051,619.00
27053,98.00
27055,244.00
27057,246.00
27059,164.00
27061,213.00
27063,446.00
27065,190.00
27067,374.00
27069,908.00
27071,308.00
27073,492.00
27075,85.00
27077,681.00
27079,266.00
27081,443.00
27083,442.00
27085,305.00
27087,711.00
27089,831.00
27091,493.00
27093,293.00
27095,178.00
27097,217.00
27099,419.00
27101,457.00
27103,384.00
27105,468.00
27107,1041.00
27109,251.00
27111,312.00
27113,699.00
27115,195.00
27117,403.00
27119,813.00
27121,398.00
27123,12.00
27125,794.00
27127,462.00
27129,608.00
27131,182.00
27133,411.00
27135,663.00
27137,178.00
27139,156.00
27141,205.00
27143,390.00
27145,221.00
27147,337.00
27149,597.00
27151,454.00
27153,208.00
27155,887.00
27157,285.00
27159,249.00
27161,339.00
27163,124.00
27165,508.00
27167,1095.00
27169,260.00
27171,180.00
27173,450.00
28001,406.00
28003,181.00
28005,190.00
28007,252.00
28009,267.00
28011,993.00
28013,286.00
28015,398.00
28017,340.00
28019,284.00
28021,323.00
28023,344.00
28025,351.00
28027,1294.00
28029,255.00
28031,170.00
28033,304.00
28035,128.00
28037,205.00
28039,111.00
28041,159.00
28043,299.00
28045,113.00
28047,49.00
28049,244.00
28051,487.00
28053,917.00
28055,1103.00
28057,207.00
28059,77.00
28061,219.00
28063,253.00
28065,156.00
28067,139.00
28069,358.00
28071,236.00
28073,149.00
28075,269.00
28077,159.00
28079,165.00
28081,282.00
28083,1163.00
28085,165.00
28087,314.00
28089,300.00
28091,159.00
28093,335.00
28095,288.00
28097,251.00
28099,172.00
28101,199.00
28103,393.00
28105,231.00
28107,360.00
28109,147.00
28111,144.00
28113,130.00
28115,184.00
28117,223.00
28119,722.00
28121,210.00
28123,182.00
28125,1214.00
28127,191.00
28129,153.00
28131,141.00
28133,1249.00
28135,710.00
28137,266.00
28139,195.00
28141,172.00
28143,2041.00
28145,181.00
28147,158.00
28149,621.00
28151,1357.00
28153,173.00
28155,254.00
28157,532.00
28159,223.00
28161,233.00
28163,536.00
29001,328.00
29003,290.00
29005,754.00
29007,445.00
29009,208.00
29011,383.00
29013,396.00
29015,299.00
29017,238.00
29019,180.00
29021,231.00
29023,548.00
29025,270.00
29027,206.00
29029,239.00
29031,261.00
29033,419.00
29035,448.00
29037,215.00
29039,243.00
29041,394.00
29043,132.00
29045,468.00
29047,201.00
29049,325.00
29051,159.00
29053,319.00
29055,255.00
29057,380.00
29059,176.00
29061,302.00
29063,285.00
29065,273.00
29067,268.00
29069,1000.00
29071,146.00
29073,252.00
29075,348.00
29077,120.00
29079,341.00
29081,403.00
29083,425.00
29085,310.00
29087,550.00
29089,317.00
29091,230.00
29093,242.00
29095,150.00
29097,201.00
29099,126.00
29101,236.00
29103,370.00
29105,229.00
29107,290.00
29109,178.00
29111,336.00
29113,208.00
29115,333.00
29117,364.00
29119,204.00
29121,338.00
29123,261.00
29125,283.00
29127,396.00
29129,393.00
29131,252.00
29133,1576.00
29135,200.00
29137,348.00
29139,317.00
29141,219.00
29143,1443.00
29145,165.00
29147,388.00
29149,357.00
29151,251.00
29153,322.00
29155,1610.00
29157,237.00
29159,309.00
29161,219.00
29163,336.00
29165,330.00
29167,230.00
29169,222.00
29171,452.00
29173,362.00
29175,272.00
29177,249.00
29179,254.00
29181,327.00
29183,257.00
29185,339.00
29186,255.00
29187,182.00
29189,249.00
29195,500.00
29197,309.00
29199,351.00
29201,495.00
29203,298.00
29205,442.00
29207,600.00
29209,169.00
29211,462.00
29213,274.00
29215,285.00
29217,344.00
29219,225.00
29221,207.00
29223,287.00
29225,144.00
29227,373.00
29229,256.00
30001,2498.00
30003,9032.00
30005,4155.00
30007,1577.00
30009,1125.00
30011,5473.00
30013,1237.00
30015,3271.00
30017,4737.00
30019,2779.00
30021,2326.00
30023,962.00
30025,3121.00
30027,2589.00
30029,159.00
30031,624.00
30033,8519.00
30035,1862.00
30037,4351.00
30039,1892.00
30041,2315.00
30043,952.00
30045,2409.00
30047,548.00
30049,1132.00
30051,3714.00
30053,138.00
30055,3065.00
30057,1526.00
30059,6084.00
30061,198.00
30063,452.00
30065,3189.00
30067,1238.00
30069,5698.00
30071,4352.00
30073,1656.00
30075,5005.00
30077,2253.00
30079,4175.00
30081,153.00
30083,2410.00
30085,2610.00
30087,6600.00
30089,1233.00
30091,2323.00
30093,425.00
30095,1357.00
30097,2745.00
30099,1294.00
30101,3025.00
30103,5076.00
30105,2926.00
30107,4944.00
30109,3762.00
30111,1220.00
31001,624.00
31003,699.00
31005,4766.00
31007,1770.00
31009,3630.00
31011,825.00
31013,1571.00
31015,1129.00
31017,2295.00
31019,554.00
31021,572.00
31023,517.00
31025,452.00
31027,604.00
31029,1750.00
31031,6284.00
31033,1328.00
31035,723.00
31037,508.00
31039,452.00
31041,1358.00
31043,624.00
31045,1528.00
31047,889.00
31049,1227.00
31051,492.00
31053,499.00
31055,247.00
31057,2016.00
31059,750.00
31061,998.00
31063,1305.00
31065,1194.00
31067,454.00
31069,4608.00
31071,1696.00
31073,983.00
31075,7736.00
31077,919.00
31079,564.00
31081,533.00
31083,1188.00
31085,1985.00
31087,1363.00
31089,1220.00
31091,4402.00
31093,455.00
31095,608.00
31097,393.00
31099,852.00
