,ZCTA,SSP_count
280,97918,0
281,97920,0
282,71944,0
283,73118,0
284,71945,0
285,73119,0
286,71949,0
287,71950,0
288,71952,0
289,73120,0
290,73121,0
291,73122,0
292,73127,0
293,73128,0
294,73129,0
295,71953,0
296,73130,0
297,73131,0
298,71956,0
299,73132,0
300,73134,0
301,71957,0
302,73135,0
303,73139,0
304,71958,0
305,73141,0
306,71959,0
307,73142,0
308,94133,0
309,94134,0
310,94158,0
311,94301,0
312,94303,0
313,94304,0
314,94305,0
315,94306,0
316,94401,0
317,94402,0
318,94403,0
319,94404,0
320,94501,0
321,94502,0
322,94503,0
323,94505,0
324,94506,0
325,94507,0
326,42440,0
327,48801,0
328,42441,0
329,39563,0
330,48806,0
331,42442,0
332,48807,0
333,48808,0
334,48809,0
335,42445,0
336,39564,0
337,48811,0
338,42450,0
339,39565,0
340,42451,0
341,42452,0
342,42453,0
343,39567,0
344,48813,0
345,42455,0
346,48815,0
347,48816,0
348,42456,0
349,42458,0
350,48817,0
351,48818,0
352,42459,0
353,95834,0
354,95835,0
355,95837,0
356,95838,0
357,95841,0
358,95842,0
359,95843,0
360,95864,0
361,95901,0
362,95903,0
363,95910,0
364,95912,0
365,95914,0
366,95915,0
367,37351,0
368,37352,0
369,33597,0
370,37353,0
371,33598,0
372,37354,0
373,33602,0
374,33603,0
375,37355,0
376,33604,0
377,37356,0
378,37357,0
379,37359,0
380,37360,0
381,37361,0
382,53526,0
383,61842,0
384,53527,0
385,61843,0
386,53528,0
387,53529,0
388,61844,0
389,61845,0
390,53530,0
391,61846,0
392,53531,0
393,61847,0
394,61848,0
395,61849,0
396,61850,0
397,61851,0
398,53532,0
399,61852,0
400,61853,0
401,53533,0
402,61854,0
403,61855,0
404,53534,0
405,61856,0
406,61857,0
407,53536,0
408,2536,0
409,2537,0
410,2538,0
411,2539,0
412,2540,1
413,2542,0
414,2543,0
415,2553,0
416,2554,0
417,2556,0
418,2557,0
419,2558,0
420,2559,0
421,2561,0
422,2562,0
423,2563,0
424,2564,0
425,75137,0
426,75140,0
427,75141,0
428,75142,0
429,75143,0
430,75144,0
431,75146,0
432,75147,0
433,75148,0
434,75149,0
435,75150,0
436,75152,0
437,75153,0
438,75154,0
439,75155,0
440,75156,0
441,75157,0
442,70464,0
443,75158,0
444,70465,0
445,80476,0
446,80477,0
447,80478,0
448,70466,0
449,80479,0
450,75159,0
451,70471,0
452,80480,0
453,80481,0
454,75160,0
455,80482,0
456,80483,0
457,70501,0
458,42044,0
459,48506,0
460,42045,0
461,42047,0
462,42048,0
463,42049,0
464,48507,0
465,42050,0
466,42051,0
467,48509,0
468,48519,0
469,48529,0
470,42053,0
471,42054,0
472,48532,0
473,48551,0
474,48553,0
475,48554,0
476,27201,0
477,27203,0
478,27205,0
479,27207,0
480,27208,0
481,27209,0
482,27212,0
483,27214,0
484,27215,0
485,27217,0
486,27229,0
487,27231,0
488,27233,0
489,27235,0
490,27239,0
491,27242,0
492,27243,0
493,27244,0
494,27248,0
495,27249,0
496,27252,0
497,27253,0
498,27258,0
499,27260,0
500,27262,0
501,27263,0
502,27265,0
503,27278,0
504,27281,0
505,27282,0
506,27283,0
507,27284,0
508,27288,0
509,27291,0
510,27292,0
511,27295,0
512,27298,0
513,27299,0
514,27301,0
515,27302,0
516,43529,0
517,43531,0
518,43532,0
519,43533,0
520,43534,0
521,43535,0
522,43536,0
523,43537,0
524,43540,0
525,43541,0
526,43542,0
527,43543,0
528,43545,0
529,43547,0
530,43548,0
531,43549,0
532,43551,0
533,43553,0
534,43554,0
535,43555,0
536,43556,0
537,43557,0
538,43558,0
539,43560,0
540,43565,0
541,43566,0
542,43567,0
543,84401,0
544,73145,0
545,73149,0
546,71960,0
547,73150,0
548,73151,0
549,71961,0
550,84403,0
551,71962,0
552,71964,0
553,73159,0
554,71965,0
555,71968,0
556,71969,0
557,71970,0
558,71971,0
559,71972,0
560,73160,0
561,71973,0
562,71998,0
563,71999,0
564,84404,0
565,72001,0
566,73162,0
567,94508,0
568,94509,0
569,94510,0
570,94511,0
571,94512,0
572,94513,0
573,94514,0
574,94515,0
575,94516,0
576,94517,0
577,94518,0
578,94519,0
579,94520,0
580,94521,0
581,94523,0
582,94525,0
583,94526,0
584,94528,0
585,94530,0
586,94531,0
587,94533,0
588,94534,0
589,94535,0
590,94536,0
591,94538,1
592,94539,0
593,94541,0
594,48819,0
595,39571,0
596,42461,0
597,39572,0
598,42462,0
599,42463,0
600,48820,0
601,42464,0
602,48821,0
603,48822,0
604,39573,0
605,42501,1
606,39574,0
607,48823,0
608,48825,0
609,39576,0
610,42503,0
611,42516,0
612,42518,0
613,48827,0
614,42519,0
615,39577,0
616,48829,0
617,42528,0
618,42533,0
619,48831,0
620,48832,0
621,39581,0
622,48834,0
623,42539,0
624,42541,0
625,48835,0
626,48836,0
627,42544,0
628,42553,0
629,42565,0
630,95916,0
631,95917,0
632,95918,0
633,95919,0
634,95920,0
635,95922,0
636,95923,0
637,95925,0
638,95926,0
639,95928,1
640,95930,0
641,95932,0
642,95934,0
643,95935,0
644,95936,0
645,95937,0
646,95938,0
647,95939,0
648,95941,0
649,95942,0
650,95943,0
651,95944,0
652,95945,0
653,95946,0
654,95947,0
655,95948,0
656,95949,0
657,95950,0
658,95951,0
659,95953,0
660,95954,0
661,95955,0
662,95956,0
663,95957,0
664,95959,0
665,95960,0
666,95961,0
667,95962,0
668,95963,0
669,95965,0
670,95966,0
671,33605,0
672,37362,0
673,33606,1
674,37363,0
675,37365,0
676,23085,0
677,43777,0
678,43778,0
679,49946,0
680,43779,0
681,23086,0
682,49947,0
683,43780,0
684,23089,0
685,43782,0
686,23091,0
687,49948,0
688,23092,0
689,43783,0
690,43786,0
691,49950,0
692,49952,0
693,43787,0
694,53537,0
695,61858,0
696,61859,0
697,61862,0
698,61863,0
699,53538,0
700,53540,0
701,61864,0
702,53541,0
703,61865,0
704,53543,0
705,53544,0
706,61866,0
707,53545,0
708,61870,0
709,61871,0
710,61872,0
711,61873,0
712,61874,0
713,61875,0
714,53546,0
715,61876,0
716,61877,0
717,61878,0
718,61880,0
719,53548,0
720,61882,0
721,37714,0
722,37715,0
723,33823,0
724,37716,0
725,37719,0
726,37721,0
727,37722,1
728,2568,1
729,2571,0
730,2575,0
731,2576,0
732,2584,0
733,2601,1
734,2630,0
735,2631,0
736,2632,0
737,2633,0
738,2635,0
739,2637,0
740,2638,0
741,2639,0
742,2641,0
743,2642,0
744,2643,0
745,2644,0
746,2645,0
747,2646,0
748,2647,0
749,2648,0
750,2649,1
751,2650,0
752,75161,0
753,75163,0
754,75164,0
755,70503,0
756,80487,0
757,80488,0
758,80497,0
759,70506,0
760,80498,0
761,75165,0
762,70507,0
763,75166,0
764,75167,0
765,80501,0
766,70508,0
767,75169,0
768,80503,0
769,75172,0
770,75173,0
771,70510,0
772,75180,0
773,70512,0
774,70513,0
775,75181,0
776,42055,0
777,42056,0
778,42058,0
779,42060,0
780,42061,0
781,42064,0
782,48601,0
783,42066,1
784,42069,0
785,48602,0
786,27305,0
787,27306,0
788,27310,0
789,27311,0
790,27312,0
791,27313,0
792,27314,0
793,27315,0
794,27316,0
795,27317,0
796,27320,0
797,27325,0
798,27326,0
799,27330,0
800,27332,0
801,27340,0
802,27341,0
803,27343,0
804,27344,0
805,27349,0
806,27350,0
807,27355,0
808,27356,0
809,27357,0
810,27358,0
811,27360,0
812,27370,0
813,27371,0
814,27376,0
815,27377,0
816,27379,0
817,27401,0
818,27403,1
819,27405,0
820,27406,0
821,43569,0
822,43570,0
823,43571,0
824,43604,0
825,43605,0
826,43606,0
827,43607,0
828,41274,0
829,41301,0
830,41311,0
831,41314,0
832,41317,0
833,41332,0
834,41339,1
835,41348,0
836,41352,0
837,41360,0
838,41365,0
839,41366,0
840,41367,0
841,41385,0
842,73165,0
843,72002,0
844,73169,0
845,72003,0
846,84405,0
847,73170,0
848,73173,0
849,73179,0
850,72004,0
851,72005,0
852,84414,0
853,72006,0
854,72007,0
855,84501,0
856,72010,0
857,84511,0
858,72011,0
859,84512,0
860,72012,0
861,84513,0
862,73401,0
863,73425,0
864,84515,0
865,84516,0
866,72013,0
867,94542,0
868,94544,0
869,94545,0
870,94546,0
871,94547,0
872,94548,0
873,94549,0
874,94550,0
875,94551,0
876,94552,0
877,94553,0
878,94555,0
879,94556,0
880,94558,0
881,94559,0
882,94560,0
883,94561,0
884,94563,0
885,94564,0
886,94565,0
887,94566,0
888,94567,0
889,94568,0
890,94569,0
891,94571,0
892,94572,0
893,42566,0
894,48837,0
895,39601,0
896,42567,0
897,39629,0
898,48838,0
